美金 (USD),32.165,32.835,32.515,32.615
港幣 (HKD),4.014,4.218,4.14,4.2
英鎊 (GBP),39.93,42.05,40.94,41.34
澳幣 (AUD),21.29,22.07,21.58,21.78
加拿大幣 (CAD),23.28,24.19,23.68,23.88
新加坡幣 (SGD),23.42,24.33,23.91,24.09
瑞士法郎 (CHF),35.49,36.69,36.17,36.42
日圓 (JPY),0.1938,0.2066,0.2011,0.2051
南非幣 (ZAR),-,-,1.754,1.834
瑞典幣 (SEK),2.7,3.22,3.04,3.14
紐元 (NZD),19.33,20.18,19.71,19.91
泰幣 (THB),0.7539,0.9439,0.8663,0.9063
菲國比索 (PHP),0.4871,0.6191,-,-
印尼幣 (IDR),0.00163,0.00233,-,-
歐元 (EUR),34,35.34,34.62,35.02
韓元 (KRW),0.02169,0.02559,-,-
越南盾 (VND),0.00105,0.00146,-,-
馬來幣 (MYR),5.86,7.38,-,-
人民幣 (CNY),4.365,4.527,4.437,4.487
